text,aspect,sentiment,neu_score,neg_score,pos_score,reviewId
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",hotel,positive,0.004809261,0.0028127444,0.992378,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",expectation,positive,0.00053810363,0.0014590865,0.9980028,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",staff,positive,0.00074593356,0.0022371905,0.9970169,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",bed,neutral,0.95583755,0.013110737,0.031051764,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",sheet,neutral,0.7845729,0.1543561,0.06107098,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",towel,neutral,0.9726156,0.022439001,0.0049454486,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",location,positive,0.0015762744,0.0009592429,0.9974644,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",market,positive,0.0025836402,0.0015811026,0.9958352,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",motorbike,positive,0.0021973522,0.0010596819,0.996743,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",rent,positive,0.12983142,0.006542305,0.8636263,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",car,positive,0.0008475965,0.0009799363,0.9981724,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",information,neutral,0.9829769,0.0022861338,0.014736907,127452257
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",time,neutral,0.94402754,0.010803189,0.045169257,127452257
Clean rooms with full amenities worth to stay,room,positive,0.00084195787,0.0008513011,0.99830675,126831568
Clean rooms with full amenities worth to stay,amenity,positive,0.0013302537,0.0016680593,0.9970017,126831568
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,employee,positive,0.00036098907,0.0010137435,0.9986253,126697156
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,charge,positive,0.15438141,0.020013653,0.825605,126697156
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,room,positive,0.01758006,0.0019141721,0.98050576,126697156
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,view,positive,0.00064370374,0.0009462537,0.99841,126697156
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,city,positive,0.0010425881,0.0010003468,0.9979571,126697156
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,place,positive,0.00031557816,0.0009885989,0.9986958,126697156
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",time,neutral,0.65540266,0.029279025,0.31531835,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",service,positive,0.000943783,0.0012106677,0.99784553,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",photo,neutral,0.75400096,0.014252507,0.23174652,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",hotel,positive,0.00966016,0.005721068,0.9846187,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",star,positive,0.010854517,0.022756075,0.9663894,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",center,positive,0.001387722,0.0013601155,0.99725217,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",lady,positive,0.0004178416,0.0013213466,0.9982608,126432650
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",staff,positive,0.0006843677,0.0043415204,0.99497414,126432650
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30% of room rate (12pm-4pm)",room,positive,0.2512899,0.020924572,0.7277855,126414680
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30% of room rate (12pm-4pm)",staff,positive,0.00072590896,0.001084843,0.9981893,126414680
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30% of room rate (12pm-4pm)",surcharge,negative,0.09309281,0.849673,0.05723425,126414680
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30% of room rate (12pm-4pm)",%,neutral,0.50735795,0.26937667,0.22326536,126414680
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30% of room rate (12pm-4pm)",rate,neutral,0.38822913,0.27800158,0.33376932,126414680
"Large, airy, beautiful room. enthusiastic staff",room,positive,0.0005449582,0.0009124941,0.99854255,126290704
"Large, airy, beautiful room. enthusiastic staff",staff,positive,0.00045920906,0.0010948733,0.9984459,126290704
"Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and",reception,positive,0.17926192,0.07693159,0.7438065,126150640
