reviewerName,hotelId,overallScore,originalReviewText,reviewText,cleanlinessScore,comfortScore,serviceScore,foodScore,locationScore,travelType,travelTypeDisplayName,travelTheme,travelThemeDisplayName,travelPurpose,travelKeywords,language,timestamp,anonymous,recommended,approved,sideBar,curated,translated,tagList,photoDataDisplaysList,businessReply,reviewId,reactionSummaries,profileId,sharedUrl,travelPurposeText
Hoang N. ,3000010042556,9.7,"Khách sạn rất xinh , vượt ngoài mong đợi của mình . Nhân viên rất nhiệt tình . Sẽ có người dọn dẹp thay ga giường, khăn mới . Vị trí gần chợ đà lạt , thuận tiện đi lại. Có cho thuê xe máy , xe chạy rất ổn , giá rẻ . Trước khi đến khách sạn sẽ gọi check lại thông tin với bạn. Nói chung sẽ chọn lại khách sạn cho lần sau quay lại đà lạt.","The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to Dalat.",10.0,10.0,10.0,,10.0,,,,Liburan,"{'travelPurpose': 'LEISURE', 'travelPurposeText': 'Liburan'}","[{'travelKeyword': 'FRIENDS', 'travelKeywordText': 'Teman'}]",ENGLISH,1684722833270,False,False,True,True,True,True,,"[{'photoId': '224137865_ACCOMMODATION_1684722549874_ec8324ba08c5206c', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/224137865_ACCOMMODATION_1684722549874_ec8324ba08c5206c?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/224137865_ACCOMMODATION_1684722549874_ec8324ba08c5206c?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '2514', 'uploaderName': 'Hoang N. ', 'submissionTime': '1684722551129', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}, {'photoId': '224137865_ACCOMMODATION_1684722549874_38cdf332f69db7da', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/224137865_ACCOMMODATION_1684722549874_38cdf332f69db7da?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/224137865_ACCOMMODATION_1684722549874_38cdf332f69db7da?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '2514', 'uploaderName': 'Hoang N. ', 'submissionTime': '1684722551547', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,127452257,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}",224137865,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Liburan
Thuy Q. N. ,3000010042556,9.7,Phòng ốc sạch sẽ đầy đủ tiện nghi đáng để lưu trú,Clean rooms with full amenities worth to stay,10.0,10.0,8.0,10.0,10.0,,,,Staycation,"{'travelPurpose': 'STAYCATION', 'travelPurposeText': 'Staycation'}","[{'travelKeyword': 'FAMILY', 'travelKeywordText': 'Keluarga'}]",ENGLISH,1660817392070,False,False,True,False,True,True,,"[{'photoId': '247430533_ACCOMMODATION_1660817272098_d1d956bfb5c3dc37', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/247430533_ACCOMMODATION_1660817272098_d1d956bfb5c3dc37?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/247430533_ACCOMMODATION_1660817272098_d1d956bfb5c3dc37?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '2667', 'uploaderName': 'Thuy Q. N. ', 'submissionTime': '1661240247455', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126831568,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '6', 'hadReacted': False}}}",247430533,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Staycation
Thai H. N. ,3000010042556,9.7,nhân viên thân thiện. mình được check in sớm mà không tính phí. phòng mình có view nhìn ra thành phố rất xin. 1 địa điểm mọi người nên tới nha,Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,10.0,10.0,10.0,,10.0,,,,Staycation,"{'travelPurpose': 'STAYCATION', 'travelPurposeText': 'Staycation'}","[{'travelKeyword': 'FRIENDS', 'travelKeywordText': 'Teman'}]",ENGLISH,1656652834866,False,False,True,False,True,True,,"[{'photoId': '234078355_ACCOMMODATION_1656652800539_1e6f02f8135eb674', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/234078355_ACCOMMODATION_1656652800539_1e6f02f8135eb674?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/234078355_ACCOMMODATION_1656652800539_1e6f02f8135eb674?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'LOBBY', 'photoCategoryDisplayText': 'Lobi'}, 'width': '1008', 'height': '756', 'uploaderName': 'Thai H. N. ', 'submissionTime': '1656988232977', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126697156,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '5', 'hadReacted': False}}}",234078355,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Staycation
Ong N. D. ,3000010042556,9.7,"Lần đầu tiên trãi nghiệm dịch vụ thật sự rất tuyệt vời, mọi người xem ảnh để cảm nhận nha chứ đối với mình khách sạn này mình cho 5 sao là ít, yên tĩnh, gần trung tâm, sạch sẽ, đặc biệt các cô chú nhân viên vô cùng nhiệt tình ❤️","The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ❤️",10.0,10.0,10.0,,10.0,,,,Liburan,"{'travelPurpose': 'LEISURE', 'travelPurposeText': 'Liburan'}","[{'travelKeyword': 'FRIENDS', 'travelKeywordText': 'Teman'}]",ENGLISH,1649142695830,False,False,True,True,True,True,,"[{'photoId': '221578323_ACCOMMODATION_1649142601190_663c4d019cb43ee2', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/221578323_ACCOMMODATION_1649142601190_663c4d019cb43ee2?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/221578323_ACCOMMODATION_1649142601190_663c4d019cb43ee2?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'IN_ROOM_BATHROOM', 'photoCategoryDisplayText': 'Toilet Kamar'}, 'width': '2000', 'height': '1500', 'uploaderName': 'Ong N. D. ', 'submissionTime': '1649995214208', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}, {'photoId': '221578323_ACCOMMODATION_1649142601190_415af2884642eacc', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/221578323_ACCOMMODATION_1649142601190_415af2884642eacc?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/221578323_ACCOMMODATION_1649142601190_415af2884642eacc?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '1500', 'uploaderName': 'Ong N. D. ', 'submissionTime': '1649995214234', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}, {'photoId': '221578323_ACCOMMODATION_1649142601191_a90a906e1b6c6177', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/221578323_ACCOMMODATION_1649142601191_a90a906e1b6c6177?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/221578323_ACCOMMODATION_1649142601191_a90a906e1b6c6177?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'IN_ROOM_BATHROOM', 'photoCategoryDisplayText': 'Toilet Kamar'}, 'width': '2000', 'height': '2667', 'uploaderName': 'Ong N. D. ', 'submissionTime': '1649995214260', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126432650,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '3', 'hadReacted': False}}}",221578323,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Liburan
Thanh T. C. ,3000010042556,9.7," phòng sạch sẽ, nhân viên thân thiện, vui vẻ nhiệt tình. check out trễ phụ phí 30% giá phòng (12pm-4pm)"," Clean room, friendly, enthusiastic staff. Late check out surcharge 30% of room rate (12pm-4pm)",10.0,10.0,10.0,,10.0,,,,Staycation,"{'travelPurpose': 'STAYCATION', 'travelPurposeText': 'Staycation'}","[{'travelKeyword': 'COUPLE', 'travelKeywordText': 'Pasangan'}]",ENGLISH,1648647497932,False,False,True,False,True,True,,"[{'photoId': '19513636_ACCOMMODATION_1648647422197_1b42d031b574fd59', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/19513636_ACCOMMODATION_1648647422197_1b42d031b574fd59?tr=q-40,ver-1,c-at_max,w-740,h-500&_src=imagekit&ver=1', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/19513636_ACCOMMODATION_1648647422197_1b42d031b574fd59?tr=q-40,ver-1,w-145,h-145&_src=imagekit&ver=1', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '1008', 'height': '756', 'uploaderName': 'Thanh T. C. ', 'submissionTime': '1649330852985', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126414680,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '4', 'hadReacted': False}}}",19513636,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Staycation
Tran T. N. T. ,3000010042556,9.7,"phòng rộng, thoáng, đẹp. nhân viên nhiệt tình","Large, airy, beautiful room. enthusiastic staff",10.0,10.0,10.0,,10.0,,,,Liburan,"{'travelPurpose': 'LEISURE', 'travelPurposeText': 'Liburan'}","[{'travelKeyword': 'COUPLE', 'travelKeywordText': 'Pasangan'}, {'travelKeyword': 'FAMILY', 'travelKeywordText': 'Keluarga'}]",ENGLISH,1645598256789,False,False,True,False,True,True,,"[{'photoId': '212551077_ACCOMMODATION_1645598194729_cfdf7140e03f8cef', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/212551077_ACCOMMODATION_1645598194729_cfdf7140e03f8cef?tr=q-40,ver-1,c-at_max,w-740,h-500&_src=imagekit&ver=1', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/212551077_ACCOMMODATION_1645598194729_cfdf7140e03f8cef?tr=q-40,ver-1,w-145,h-145&_src=imagekit&ver=1', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '1152', 'height': '864', 'uploaderName': 'Tran T. N. T. ', 'submissionTime': '1645700965501', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126290704,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}",212551077,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Liburan
Vo C. T. ,3000010042556,9.7,"Lễ tân nhiệt tình, thuê xe máy tay ga 120k, tính đúng theo giờ thuê, mình thuê xe từ 12h thì tính nửa ngày. Khoá phòng bằng thẻ từ. Điểm cộng là được nhận phòng sớm không thu phí. Điểm trừ là cách âm chưa tốt, nghe vọng tiếng từ các phòng khác sang. Phòng có 2 chai nước free mỗi ngày đúng chuẩn kèm trà và cafe. Nước nóng mạnh, phòng tắm vách kính.","Enthusiastic reception, rent a scooter 120k, calculated according to the rental hour, if I rent a car from 12 o'clock, it will be charged for half a day. Lock the room with a magnetic card. The plus point is early check-in at no extra charge. The minus point is that the soundproofing is not good, hearing echoes from other rooms. The room has 2 standard free bottles of water per day with tea and coffee. Strong hot water, glass-walled bathroom.",10.0,10.0,10.0,,10.0,,,,Staycation,"{'travelPurpose': 'STAYCATION', 'travelPurposeText': 'Staycation'}","[{'travelKeyword': 'COUPLE', 'travelKeywordText': 'Pasangan'}]",ENGLISH,1642302310020,False,False,True,True,True,True,,"[{'photoId': '30443923_ACCOMMODATION_1642302048912_c80e89a5451a95a4', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/30443923_ACCOMMODATION_1642302048912_c80e89a5451a95a4?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/30443923_ACCOMMODATION_1642302048912_c80e89a5451a95a4?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'IN_ROOM_BATHROOM', 'photoCategoryDisplayText': 'Toilet Kamar'}, 'width': '2000', 'height': '2667', 'uploaderName': 'Vo C. T. ', 'submissionTime': '1643007878121', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}, {'photoId': '30443923_ACCOMMODATION_1642302048912_f82883a96ad5ce66', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/30443923_ACCOMMODATION_1642302048912_f82883a96ad5ce66?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/30443923_ACCOMMODATION_1642302048912_f82883a96ad5ce66?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '1500', 'uploaderName': 'Vo C. T. ', 'submissionTime': '1643007878150', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126150640,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '4', 'hadReacted': False}}}",30443923,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Staycation
Thi H. M. P. ,3000010042556,9.4,"Khách sạn sạch sẽ, gần trung tâm tp. Rất tiện lợi","Clean hotel, close to the city center. Very convenient",10.0,10.0,10.0,8.0,8.0,,,,,,[],ENGLISH,1652969485722,False,False,True,False,True,True,,"[{'photoId': '220191442_ACCOMMODATION_1652715159605_32000e2d3c970263', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/220191442_ACCOMMODATION_1652715159605_32000e2d3c970263?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/220191442_ACCOMMODATION_1652715159605_32000e2d3c970263?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '2667', 'uploaderName': 'Thi H. M. P. ', 'submissionTime': '1653306729637', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126563350,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '3', 'hadReacted': False}}}",220191442,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,
Tuan A. V. ,3000010042556,9.4,"Kì nghỉ trọn vẹn, Khách sạn nằm gần trung tâm thành phố rất tiện đi chơi và ăn uống. Phòng khá rộng rãi và sạch sẽ. Nếu có dịp quay lại mình sẽ lựa chọn nơi đây làm nơi dừng chân","Perfect vacation, the hotel is located near the city center, very convenient to go out and eat. Room is quite spacious and clean. If I have the opportunity to come back, I will choose this place as a place to stop",10.0,10.0,8.0,,10.0,,,,Liburan,"{'travelPurpose': 'LEISURE', 'travelPurposeText': 'Liburan'}","[{'travelKeyword': 'FRIENDS', 'travelKeywordText': 'Teman'}]",ENGLISH,1649313713812,False,False,True,True,True,True,,"[{'photoId': '166555185_ACCOMMODATION_1649313581003_440e5af1b78f73f4', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/166555185_ACCOMMODATION_1649313581003_440e5af1b78f73f4?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/166555185_ACCOMMODATION_1649313581003_440e5af1b78f73f4?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '1500', 'uploaderName': 'Thuy N. V. ', 'submissionTime': '1649659419065', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126436341,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}",,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,Liburan
Tran T. T. V. ,3000010042556,9.4,"Phòng giống hình, nhân viên cũng nhiệt tình. Nói chung ổn so với giá thành. Hotel dễ tìm, đi bộ ra chợ được. Nói chung là ổn nha 🤌","The room is like the picture, the staff is also enthusiastic. Overall ok for the price. Hotel is easy to find, walking distance to the market. It's ok in general",10.0,8.0,10.0,8.0,10.0,,,,,,[],ENGLISH,1648114911466,False,False,True,False,True,True,,"[{'photoId': '17844698_ACCOMMODATION_1648114827955_c7718bb498a044c1', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/17844698_ACCOMMODATION_1648114827955_c7718bb498a044c1?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/17844698_ACCOMMODATION_1648114827955_c7718bb498a044c1?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '2667', 'uploaderName': 'Tran T. T. V. ', 'submissionTime': '1648727982196', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}, {'photoId': '17844698_ACCOMMODATION_1648114827955_c7f0b4767f7296aa', 'photoUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/17844698_ACCOMMODATION_1648114827955_c7f0b4767f7296aa?tr=q-40,c-at_max,w-740,h-500&_src=imagekit', 'thumbnailUrl': 'https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/ACCOMMODATION/17844698_ACCOMMODATION_1648114827955_c7f0b4767f7296aa?tr=q-40,w-145,h-145&_src=imagekit', 'caption': '', 'photoCategoryDisplay': {'photoCategory': 'BEDROOM', 'photoCategoryDisplayText': 'Kamar Tidur'}, 'width': '2000', 'height': '978', 'uploaderName': 'Tran T. T. V. ', 'submissionTime': '1648727982225', 'reactionSummaries': {'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}, 'sharedUrl': None}]",,126390720,"{'reactionSummaryMap': {'LIKE': {'reactionCount': '3', 'hadReacted': False}}}",17844698,https://www.traveloka.com/hotel/vietnam/the-grace-hotel-dalat-3000010042556,
