slot_number,idx_regular_days,idx_promo_days,total_overlapping_days_regular,regular_to_promo_gap,total_overlapping_days_promo,competing_promo_days,sku_B_regular_avg_sales,sku_B_avg_sales_during_promo_sku_A,diff_in_units_from_reg_to_promo,diff_in_units_from_promo_to_pos_promo,ratio_change,avg_actual,avg_predicted,avg_abs_effect,cum_abs_effect,posterior_tail_prob,prob_causal_effect,store_id,product_id_A,product_id_B
2,"[Timestamp('2018-07-30 00:00:00'), Timestamp('2019-05-15 00:00:00')]","[Timestamp('2019-05-16 00:00:00'), Timestamp('2019-05-29 00:00:00')]",89,0,14,0,3.765842696629213,1.587142857142857,2.178699839486356,-4.339857142857143,0.578542444546741,1.587142857142857,3.622650508056442,-2.035507650913585,-28.49710711279019,0.08591408591408592,91.4085914085914,S0020,P0316,P0189
2,"[Timestamp('2018-06-07 00:00:00'), Timestamp('2019-05-15 00:00:00')]","[Timestamp('2019-05-16 00:00:00'), Timestamp('2019-05-29 00:00:00')]",107,0,14,0,5.57177570093458,2.9764285714285714,2.595347129506009,-1.1905714285714284,0.46580251410168555,2.9764285714285714,6.066800807245893,-3.0903722358173216,-43.265211301442505,0.13486513486513488,86.51348651348651,S0020,P0316,P0260
2,"[Timestamp('2018-06-10 00:00:00'), Timestamp('2019-05-15 00:00:00')]","[Timestamp('2019-05-16 00:00:00'), Timestamp('2019-05-29 00:00:00')]",112,0,14,0,4.106071428571428,1.2571428571428573,2.848928571428571,-1.3828571428571428,0.6938331738714447,1.2571428571428573,3.4149486542629206,-2.157805797120063,-30.209281159680884,0.04895104895104895,95.1048951048951,S0020,P0316,P0436
1,"[Timestamp('2017-06-15 00:00:00'), Timestamp('2018-05-09 00:00:00')]","[Timestamp('2018-05-10 00:00:00'), Timestamp('2018-06-06 00:00:00')]",42,0,28,0,9.134761904761904,5.206071428571429,3.928690476190475,-1.0429285714285719,0.4300813220038575,5.206071428571429,7.893038823953134,-2.6869673953817053,-75.23508707068774,0.06393606393606394,93.6063936063936,S0020,P0316,P0639
0,"[Timestamp('2018-09-13 00:00:00'), Timestamp('2018-09-26 00:00:00')]","[Timestamp('2018-09-27 00:00:00'), Timestamp('2018-10-10 00:00:00')]",10,0,7,0,5.546,0.0,5.546,-9.98,1.0,1.9807142857142856,9.908099292766169,-7.927385007051883,-110.98339009872636,0.11388611388611389,88.6113886113886,S0051,P0305,P0428
0,"[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-09-29 00:00:00')]","[Timestamp('2019-10-16 00:00:00'), Timestamp('2019-10-20 00:00:00')]",11,16,5,0,3.358181818181818,0.0,3.358181818181818,-4.0649999999999995,1.0,0.0,1.9233211587640866,-1.9233211587640866,-9.616605793820433,0.2957042957042957,70.42957042957043,S0094,P0559,P0332
0,"[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-10-10 00:00:00')]","[Timestamp('2019-10-11 00:00:00'), Timestamp('2019-10-20 00:00:00')]",43,0,10,0,5.9330232558139535,2.0610000000000004,3.872023255813953,-2.662999999999999,0.6526222953904045,2.0610000000000004,5.745465392277106,-3.684465392277106,-36.84465392277106,0.024975024975024976,97.5024975024975,S0094,P0559,P0436
0,"[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-10-10 00:00:00')]","[Timestamp('2019-10-11 00:00:00'), Timestamp('2019-10-20 00:00:00')]",42,0,10,0,4.026666666666666,1.8329999999999997,2.1936666666666667,-1.3739999999999997,0.5447847682119206,1.8329999999999997,3.3808604223892935,-1.5478604223892938,-15.478604223892937,0.15984015984015984,84.01598401598402,S0094,P0559,P0459
0,"[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-10-10 00:00:00')]","[Timestamp('2019-10-11 00:00:00'), Timestamp('2019-10-20 00:00:00')]",36,0,10,1,6.056388888888889,3.3529999999999993,2.7033888888888895,-14.342,0.4463697656285833,3.3529999999999993,12.782677153435218,-9.429677153435218,-94.29677153435219,0.07592407592407592,92.4075924075924,S0094,P0559,P0560
0,"[Timestamp('2019-07-29 00:00:00'), Timestamp('2019-10-10 00:00:00')]","[Timestamp('2019-10-11 00:00:00'), Timestamp('2019-10-20 00:00:00')]",43,0,10,0,14.899302325581395,6.298,8.601302325581395,-1.1799999999999997,0.577295643623082,6.298,12.60054888780545,-6.30254888780545,-63.02548887805451,0.06493506493506493,93.5064935064935,S0094,P0559,P0569
0,"[Timestamp('2019-08-15 00:00:00'), Timestamp('2019-10-10 00:00:00')]","[Timestamp('2019-10-11 00:00:00'), Timestamp('2019-10-20 00:00:00')]",21,0,10,0,15.323333333333334,2.576,12.747333333333334,-11.849999999999998,0.8318903632804002,2.576,14.462955743291406,-11.886955743291406,-118.86955743291405,0.005994005994005994,99.4005994005994,S0094,P0559,P0663
0,"[Timestamp('2019-03-08 00:00:00'), Timestamp('2019-05-06 00:00:00')]","[Timestamp('2019-05-07 00:00:00'), Timestamp('2019-05-12 00:00:00')]",54,0,6,0,44.49166666666667,15.89,28.601666666666667,-1.2729999999999997,0.6428544671286758,15.89,44.899096506175226,-29.009096506175226,-174.05457903705135,0.056943056943056944,94.30569430569432,S0040,P0390,P0182
0,"[Timestamp('2017-10-21 00:00:00'), Timestamp('2018-01-22 00:00:00')]","[Timestamp('2018-01-23 00:00:00'), Timestamp('2018-01-30 00:00:00')]",44,0,8,0,3.1295454545454544,0.0,3.1295454545454544,-1.9280000000000002,1.0,0.0,1.6630891318197212,-1.6630891318197212,-13.30471305455777,0.24375624375624375,75.62437562437563,S0103,P0681,P0046
0,"[Timestamp('2017-10-10 00:00:00'), Timestamp('2018-01-22 00:00:00')]","[Timestamp('2018-01-23 00:00:00'), Timestamp('2018-01-30 00:00:00')]",18,0,8,0,2.2133333333333334,0.0,2.2133333333333334,-1.9920000000000002,1.0,0.0,1.120562540359204,-1.120562540359204,-8.964500322873633,0.17882117882117882,82.11788211788212,S0103,P0681,P0283
0,"[Timestamp('2017-07-11 00:00:00'), Timestamp('2017-10-06 00:00:00')]","[Timestamp('2017-10-07 00:00:00'), Timestamp('2017-10-11 00:00:00')]",77,0,5,0,11.865974025974026,0.0,11.865974025974026,-10.153,1.0,0.0,15.964697800667398,-15.964697800667398,-79.82348900333699,0.11588411588411589,88.41158841158841,S0038,P0730,P0655
