text,aspect,sentiment,neu_score,neg_score,pos_score,reviewId,singular_aspect
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",bed sheets,neutral,0.9777474,0.012068675,0.010183893,127452257,bed sheet
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",Dalat market,positive,0.0034917607,0.0010877793,0.9954204,127452257,Dalat market
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",are motorbikes,positive,0.0015827017,0.0010034518,0.9974139,127452257,are motorbike
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",hotel,positive,0.0048092767,0.002812751,0.992378,127452257,hotel
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",expectations,positive,0.0005967026,0.001404824,0.9979984,127452257,expectation
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",Someone,positive,0.008467976,0.0044534327,0.98707855,127452257,Someone
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",bed,neutral,0.9558374,0.013110748,0.03105183,127452257,bed
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",towels,neutral,0.97042525,0.023859512,0.005715204,127452257,towel
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",Location,positive,0.0015762744,0.0009592434,0.9974644,127452257,Location
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",convenient,positive,0.00091996335,0.0011693039,0.9979107,127452257,convenient
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",rent,positive,0.12983173,0.0065423143,0.86362594,127452257,rent
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",cars,positive,0.0007556284,0.00093595515,0.9983084,127452257,car
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",information,neutral,0.9829769,0.0022861338,0.0147369215,127452257,information
"The hotel is very beautiful, beyond my expectations. Staff very enthusiastic. Someone will clean the bed, change the bed sheets, new towels. Location near Dalat market, convenient to travel. There are motorbikes for rent, cars are very good, cheap. Before arriving at the hotel, we will call to check the information with you. In general, will choose the hotel again for the next time coming back to",time,neutral,0.94402754,0.010803184,0.0451692,127452257,time
Clean rooms with full amenities worth to stay,rooms,positive,0.00063695904,0.0008539454,0.9985091,126831568,room
Clean rooms with full amenities worth to stay,amenities,positive,0.0004912369,0.0008652789,0.99864346,126831568,amenity
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,place everyone,positive,0.0003258072,0.0010040547,0.9986701,126697156,place everyone
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,employee,positive,0.00036098942,0.0010137449,0.9986253,126697156,employee
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,charge,positive,0.15438147,0.020013655,0.8256049,126697156,charge
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,room,positive,0.017580053,0.0019141712,0.98050576,126697156,room
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,view,positive,0.00064370316,0.0009462528,0.99841,126697156,view
Friendly employee. I can check in early without charge. My room has a very nice view of the city. 1 place everyone should go,city,positive,0.0010425881,0.0010003468,0.9979571,126697156,city
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",ladies Very,positive,0.0005537739,0.0012985473,0.9981477,126432650,ladies Very
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",time,neutral,0.7084418,0.028251242,0.263307,126432650,time
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",service,positive,0.0010289197,0.0012311757,0.9977399,126432650,service
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",everyone,neutral,0.4655185,0.10762635,0.42685515,126432650,everyone
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",photos,neutral,0.73848426,0.011768633,0.24974708,126432650,photo
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",hotel,positive,0.008179629,0.0045550396,0.98726535,126432650,hotel
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",stars,positive,0.018402338,0.03719621,0.94440144,126432650,star
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",center,positive,0.0013746328,0.0012450281,0.9973803,126432650,center
"The first time experiencing the service is really great, everyone see the photos to feel, but for me, this hotel I give 5 stars is less, quiet, close to the center, clean, especially the ladies Very enthusiastic staff ",staff,positive,0.0012014747,0.008514321,0.99028414,126432650,staff
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30 of room rate (12pm4pm)",room rate,positive,0.145863,0.045653265,0.8084837,126414680,room rate
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30 of room rate (12pm4pm)",room,positive,0.072203696,0.007612011,0.9201843,126414680,room
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30 of room rate (12pm4pm)",staff,positive,0.0006338281,0.001030299,0.9983359,126414680,staff
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30 of room rate (12pm4pm)",check,neutral,0.7947145,0.04834734,0.15693821,126414680,check
" Clean room, friendly, enthusiastic staff. Late check out surcharge 30 of room rate (12pm4pm)",surcharge,negative,0.16537377,0.68966204,0.14496419,126414680,surcharge
