TV,Radio,Social Media,Influencer,Sales,OE,TE,SE
16.0,6.566230788,2.907982773,Mega,54.73275715,0.15573096,0.15694879,0.9922405900676265
13.0,9.237764567,2.409567204,Mega,46.67789698,0.11909592,0.14245106,0.8360479732477948
41.0,15.88644602,2.913410175,Mega,150.1778288,0.26472984,0.39028375,0.6783009541135135
83.0,30.02002826,6.922303959,Mega,298.2463398,0.23037307,0.47932052,0.4806242595247122
15.0,8.437407682,1.40599815,Micro,56.5941808,0.22099526,0.2223488,0.9939125374186862
29.0,9.614382036,1.02716349,Mega,105.8891476,0.41731702,0.4521981,0.9228632760730308
55.0,24.89381148,4.273602146,Micro,198.6798248,0.2443357,0.38269564,0.6384595863177328
31.0,17.35504181,2.289854925,Nano,108.7339319,0.24636875,0.28981428,0.8500918243228043
76.0,24.64889821,7.130115956,Macro,270.1894,0.20809033,0.46412054,0.4483540633646595
13.0,0.431127823,2.229423022,Mega,48.28058223,0.66031344,0.697433,0.946776880359834
62.0,24.34518879,5.151483172,Nano,224.9610192,0.23328948,0.42359401,0.5507383827264224
42.0,15.8073374,3.194924641,Mega,145.5439916,0.23814344,0.36748668,0.6480328484286833
64.0,20.24042393,3.921147972,Micro,229.6323807,0.28845145,0.48685503,0.5924791410699813
0.0,22.35166709,3.031815334,Mega,276.1653513,0.63820639,1.0,0.63820639
34.0,0.226326491,2.372705624,Nano,121.3364193,0.83204476,0.89435002,0.9303345909244796
36.0,3.90019598,0.060401795,Nano,123.5261126,0.87226615,0.88280518,0.9880618847297656
60.0,22.35372075,0.940801841,Mega,212.7643968,0.59776264,0.67991105,0.8791777100842825
25.0,9.905842649,1.853224897,Micro,89.8199226,0.25169385,0.29056099,0.8662341424428653
100.0,36.11609149,3.67429598,Macro,353.8046387,0.39582167,0.80704116,0.49046032546840607
92.0,40.73698967,4.636563904,Nano,329.3505396,0.32881271,0.52881692,0.6217893141543201
46.0,12.69509229,3.88458384,Macro,162.1913335,0.2287055,0.44266695,0.5166536602743892
78.0,35.56822382,2.832450089,Macro,276.4013399,0.39918137,0.51010696,0.7825444491092612
37.0,2.828972458,4.556701242,Micro,128.4846619,0.46224469,0.59347737,0.7788750057984519
99.0,37.26381865,6.88653481,Nano,349.8615752,0.25942063,0.64397177,0.4028447240785104
75.0,20.34898797,1.227180495,Micro,272.2501078,0.60202659,0.70683368,0.8517231238896257
54.0,27.807614,4.060781965,Nano,192.4619083,0.2470395,0.34923398,0.7073753247035125
0.0,34.11167359,4.624148295,Nano,342.9133724,0.51957396,1.0,0.51957396
27.0,7.280088955,2.179478014,Micro,96.74937343,0.2386886,0.35380904,0.6746254985457691
21.0,9.282685174,3.055758381,Mega,76.99292807,0.15955517,0.213014,0.7490360727463922
40.0,13.05041081,1.971184795,Nano,139.2887894,0.32459768,0.41353826,0.7849278081307398
67.0,24.13761593,5.573093351,Mega,234.8510253,0.22518035,0.43109973,0.5223393436131356
90.0,29.02101661,6.431995293,Micro,323.0321827,0.25832177,0.56021798,0.46110938817065455
12.0,3.567660711,3.558311365,Nano,40.79219533,0.19730237,0.26106133,0.7557701862623623
81.0,27.33577511,5.263650376,Micro,290.7775735,0.27679907,0.51573177,0.5367113024663963
